id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
A004011_a4_shuf,self,,4,53,33,20,33,20,discovered,46.87,106.00,0.4422,65.914,FUNC_L d=4
A004018_a2_shuf,self,,2,102,77,25,77,24,compressed_only,64.32,102.00,0.6306,308.429,NESTED_LOOP L=3
A004159_a2_shuf,self,,2,80,60,20,18,0,neither,45.87,80.00,0.5734,594.349,FUNC d=4
A005349_a4_shuf,self,,4,61,41,20,10,0,neither,76.67,122.00,0.6285,590.028,P2H_ITER d=8 r0=2
A005811_a4_shuf,self,,4,94,71,23,8,0,neither,48.26,188.00,0.2567,591.897,STEP off=5 halt=1
A006995_a2_shuf,self,,2,58,38,20,38,19,compressed_only,13.53,58.00,0.2334,10.319,"DARY d=2 LOAD(R0,1) init=0"
A007090_a3_shuf,self,,3,64,44,20,13,0,neither,69.65,101.44,0.6866,590.092,P2H_ITER d=7 r0=2
A007091_a4_shuf,self,,4,66,46,20,9,0,neither,47.10,132.00,0.3568,590.926,STEP off=7 halt=3
A007092_a3_shuf,self,,3,66,46,20,13,0,neither,52.16,104.61,0.4986,590.823,P2H_ITER d=5 r0=0
A007094_a4_shuf,self,,4,74,54,20,9,0,neither,61.32,148.00,0.4143,592.586,P2H_ITER d=6 r0=0
A007095_a2_shuf,self,,2,77,57,20,17,0,neither,64.12,77.00,0.8327,600.024,WIDE_BIT nr=2 bit=255
A007770_a3_shuf,self,,3,54,34,20,12,0,neither,69.65,85.59,0.8138,589.868,P2H_ITER d=7 r0=2
A008277_a2_shuf,self,,2,66,46,20,21,0,neither,56.16,66.00,0.8509,617.950,ITER_L d=5
A008279_a5_shuf,self,,5,55,35,20,8,0,neither,56.16,127.71,0.4398,590.303,P2H_ITER d=5 r0=1
A008292_a5_shuf,self,,5,55,35,20,9,0,neither,69.40,127.71,0.5435,589.962,P2H_ITER d=7 r0=1
A011531_a3_shuf,self,,3,53,33,20,11,0,neither,51.16,84.00,0.6090,590.505,P2H_FUNC d=5 R0
A018252_a4_shuf,self,,4,65,45,20,9,0,neither,48.12,130.00,0.3701,592.271,FUNC_L d=4
A020652_a7_shuf,self,,7,97,73,24,5,0,neither,50.52,272.31,0.1855,590.840,STEP off=45 halt=0
A025487_a3_shuf,self,,3,54,34,20,19,0,neither,61.76,85.59,0.7216,591.163,FUNC_L d=5
A027642_a3_shuf,self,,3,62,42,20,11,0,neither,56.77,98.27,0.5777,590.749,STEP off=35 halt=4
A029447_a3_shuf,self,,3,49,29,20,9,0,neither,53.96,77.66,0.6949,1221.018,ITER d=4
A029447_a4_shuf,self,,4,49,29,20,9,0,neither,55.47,98.00,0.5660,591.302,FUNC_L d=4
A029518_a3_shuf,self,,3,41,21,20,13,0,neither,44.87,64.98,0.6905,591.244,FUNC d=4
A031347_a4_shuf,self,,4,87,66,21,11,0,neither,57.00,174.00,0.3276,590.887,STEP off=28 halt=8
A035327_a4_shuf,self,,4,82,62,20,9,0,neither,62.32,164.00,0.3800,592.263,P2H_ITER d=6 r0=0
A036554_a4_shuf,self,,4,59,39,20,15,0,neither,58.41,118.00,0.4950,590.026,P2H_ITER d=5 r0=2
A038567_a3_shuf,self,,3,78,58,20,12,0,neither,60.32,123.63,0.4879,591.772,P2H_ITER d=6 r0=0
A038569_a2_shuf,self,,2,94,71,23,17,0,neither,61.12,94.00,0.6502,600.079,WIDE_BIT nr=2 bit=255
A038618_a4_shuf,self,,4,58,38,20,14,0,neither,63.40,116.00,0.5466,590.738,P2H_FUNC d=7 R0
A043529_a4_shuf,self,,4,91,69,22,20,0,neither,42.60,182.00,0.2341,592.716,ITER d=3
A043537_a2_shuf,self,,2,90,68,22,20,0,neither,81.16,90.00,0.9018,592.334,NESTED_LOOP L=4
A044813_a3_shuf,self,,3,59,39,20,12,0,neither,41.87,93.51,0.4477,590.121,P2H_FUNC d=4 R0
A048724_a3_shuf,self,,3,65,45,20,12,0,neither,50.16,103.02,0.4869,589.826,P2H_FUNC d=5 R0
A054055_a3_shuf,self,,3,105,79,26,10,0,neither,37.35,166.42,0.2244,590.906,FUNC d=3
A054055_a4_shuf,self,,4,105,79,26,9,0,neither,57.16,210.00,0.2722,590.982,P2H_ITER d=5 r0=1
A055012_a3_shuf,self,,3,60,40,20,12,0,neither,49.37,95.10,0.5191,590.094,ITER d=3
A056964_a2_shuf,self,,2,65,45,20,22,0,neither,53.16,65.00,0.8179,592.497,FUNC_L d=5
A062028_a2_shuf,self,,2,71,51,20,17,0,neither,62.32,71.00,0.8778,592.460,P2H_ITER d=6 r0=0
A062756_a3_shuf,self,,3,105,79,26,11,0,neither,50.84,166.42,0.3055,593.681,STEP off=30 halt=2
A078972_a2_shuf,self,,2,55,35,20,35,17,compressed_only,21.43,55.00,0.3897,40.739,CTX_X nr=1 d=5 perm=(0) out=R0 L=1
A078972_a3_shuf,self,,3,55,35,20,14,0,neither,41.85,87.17,0.4801,590.883,STEP off=0 halt=0
A091924_a4_shuf,self,,4,49,29,20,15,0,neither,65.40,98.00,0.6674,589.695,P2H_FUNC d=7 R0
A112798_a7_shuf,self,,7,102,77,25,7,0,neither,53.39,286.35,0.1865,592.417,STEP off=67 halt=0
A175298_a2_shuf,self,,2,73,53,20,53,19,compressed_only,13.53,73.00,0.1854,10.465,"DARY d=2 LOAD(R0,1) init=0"
A206913_a3_shuf,self,,3,69,49,20,31,0,neither,49.16,109.36,0.4495,590.432,P2H_FUNC d=5 R0
A206914_a3_shuf,self,,3,68,48,20,12,0,neither,54.16,107.78,0.5025,591.491,FUNC_L d=5
A226898_a5_shuf,self,,5,92,69,23,9,0,neither,53.16,213.62,0.2489,592.986,P2H_ITER d=5 r0=1
A233564_a3_shuf,self,,3,62,42,20,12,0,neither,61.32,98.27,0.6240,590.604,P2H_ITER d=6 r0=0
A235394_a3_shuf,self,,3,52,32,20,12,0,neither,48.87,82.42,0.5929,590.226,ITER d=4
A235394_a4_shuf,self,,4,52,32,20,8,0,neither,49.70,104.00,0.4779,589.614,STEP off=14 halt=0
A235395_a2_shuf,self,,2,49,29,20,29,19,compressed_only,13.53,49.00,0.2762,10.242,"DARY d=2 LOAD(R0,1) init=0"
