time_s,program_bits,population,alphabet_size,holdout_len,nesting_depth
10.079,15.61,S3,3,20,
10.074,15.61,S3,4,20,
10.075,15.61,S3,5,20,
10.074,15.61,S3,7,20,
37.406,49.62,S3,2,26,
48.872,49.62,S3,3,26,
45.996,49.62,S3,4,26,
51.034,49.62,S3,5,26,
44.095,49.62,S3,7,26,
15.801,15.70,S3,2,20,
16.067,16.62,S3,2,20,
27.293,15.70,S3,2,20,
10.192,13.45,S3,2,20,
15.096,28.73,S3,3,20,
14.708,24.73,S3,4,20,
15.006,28.73,S3,5,20,
14.975,28.73,S3,7,20,
24.515,24.11,S3,2,23,
282.302,116.78,S3,4,23,6
249.945,116.78,S3,5,23,6
277.729,116.78,S3,7,23,6
60.207,25.73,S3,2,20,
41.542,28.73,S3,3,20,
47.472,28.73,S3,4,20,
47.675,28.73,S3,5,20,
18.265,28.73,S3,7,20,
10.019,15.03,S3,2,20,
10.093,15.03,S3,3,20,
10.139,15.03,S3,4,20,
10.011,15.03,S3,2,25,
10.101,15.03,S3,4,25,
15.957,17.86,S3,2,20,
23.004,17.86,S3,3,20,
14.899,17.86,S3,4,20,
15.050,17.86,S3,5,20,
25.713,17.86,S3,7,20,
10.204,13.45,S3,2,20,
10.144,13.45,S3,2,20,
10.135,19.19,S3,3,20,
10.154,15.61,S3,4,20,
10.626,22.48,S3,5,20,
10.399,22.48,S3,7,20,
10.015,15.61,S3,2,23,
10.303,13.45,S3,2,20,
10.165,18.19,S3,3,20,
10.146,22.48,S3,4,20,
10.143,22.48,S3,5,20,
10.187,22.48,S3,7,20,
22.303,54.73,S3,2,21,
10.900,16.62,S3,2,26,
17.695,16.62,S3,3,26,
22.947,16.62,S3,4,26,
20.881,16.62,S3,5,26,
21.474,16.62,S3,7,26,
10.010,15.61,S3,2,24,
10.013,15.03,S3,2,20,
40.827,19.20,S3,2,20,
15.832,17.86,S3,3,20,
41.731,26.06,S3,4,20,
17.778,13.45,S3,2,26,
17.290,13.45,S3,3,26,
17.408,13.45,S3,4,26,
17.645,13.45,S3,5,26,
17.279,13.45,S3,7,26,
10.090,15.03,S4,3,125,
13.946,15.61,S4,3,125,
13.227,22.48,S4,3,125,
23.798,15.70,S4,3,125,
18.986,17.86,S4,3,125,
18.027,24.73,S4,3,125,
12.416,22.48,S4,3,125,
19.540,17.86,S4,3,125,
15.188,28.84,S4,3,125,
10.094,15.03,S4,3,125,
14.205,15.61,S4,3,125,
15.202,22.48,S4,3,125,
13.144,46.78,S4,3,125,
17.653,17.86,S4,3,125,
18.466,24.73,S4,3,125,
12.587,22.48,S4,3,125,
16.621,17.86,S4,3,125,
12.045,28.84,S4,3,125,
10.216,15.03,S4,3,125,
14.587,15.61,S4,3,125,
13.170,22.48,S4,3,125,
422.097,80.56,S4,3,125,4
17.788,17.86,S4,3,125,
17.605,24.73,S4,3,125,
12.551,22.48,S4,3,125,
17.634,17.86,S4,3,125,
12.397,28.84,S4,3,125,
10.087,15.03,S4,3,125,
214.118,64.81,S4,3,125,3
13.452,22.48,S4,3,125,
10.222,13.45,S4,3,125,
10.211,13.45,S4,3,125,
10.209,13.45,S4,3,125,
13.517,22.48,S4,3,125,
17.096,28.84,S4,3,125,
10.095,15.03,S4,3,125,
42.474,20.43,S4,3,125,
10.234,13.45,S4,3,125,
10.209,13.45,S4,3,125,
10.222,13.45,S4,3,125,
14.804,22.48,S4,3,125,
12.481,28.84,S4,3,125,
10.116,15.03,S4,3,125,
12.574,22.48,S4,3,125,
10.249,13.45,S4,3,125,
10.223,13.45,S4,3,125,
13.456,22.48,S4,3,125,
12.201,28.84,S4,3,125,
10.089,15.03,S4,3,125,
43.937,20.43,S4,3,125,
13.291,22.48,S4,3,125,
17.483,24.73,S4,3,125,
16.680,17.86,S4,3,125,
16.952,31.09,S4,3,125,
13.035,22.48,S4,3,125,
14.277,15.61,S4,3,125,
12.533,28.84,S4,3,125,
10.089,15.03,S4,3,125,
43.056,22.07,S4,3,125,
17.512,17.86,S4,3,125,
22.142,17.86,S4,3,125,
12.407,22.48,S4,3,125,
13.615,15.61,S4,3,125,
