candidate_id,population,gate_class,solver_family,mdl_bits,train_bits,raw_bits,holdout_len,alphabet_size,discovery_time_s,alphabet_base,base_seq_id
collatz_k9_c7_b2,S1,neither,FUNC_L,47.78,150.000000,200.00,50,2,600.103,,collatz_k9_c7_b2
collatz_k9_c7_b3,S1,neither,NESTED_LOOP,83.73,237.744375,316.99,50,3,600.095,,collatz_k9_c7_b3
collatz_k9_c7_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.115,,collatz_k9_c7_b4
collatz_k11_c1_b2,S1,neither,FUNC_L,47.78,150.000000,200.00,50,2,600.095,,collatz_k11_c1_b2
collatz_k11_c1_b3,S1,neither,NESTED_LOOP,83.73,237.744375,316.99,50,3,600.116,,collatz_k11_c1_b3
collatz_k11_c1_b4,S1,neither,NESTED_LOOP,114.45,300.000000,400.00,50,4,600.100,,collatz_k11_c1_b4
collatz_k11_c3_b2,S1,neither,FUNC_L,48.78,150.000000,200.00,50,2,600.052,,collatz_k11_c3_b2
collatz_k11_c3_b3,S1,neither,NESTED_LOOP,114.45,237.744375,316.99,50,3,600.092,,collatz_k11_c3_b3
collatz_k11_c3_b4,S1,neither,FUNC_L,64.09,300.000000,400.00,50,4,600.056,,collatz_k11_c3_b4
collatz_k11_c5_b2,S1,neither,FUNC_L,47.78,150.000000,200.00,50,2,600.074,,collatz_k11_c5_b2
collatz_k11_c5_b3,S1,neither,NESTED_LOOP,114.45,237.744375,316.99,50,3,600.060,,collatz_k11_c5_b3
collatz_k11_c5_b4,S1,neither,NESTED_LOOP,114.45,300.000000,400.00,50,4,600.051,,collatz_k11_c5_b4
collatz_k11_c7_b2,S1,neither,FUNC_L,47.78,150.000000,200.00,50,2,600.062,,collatz_k11_c7_b2
collatz_k11_c7_b3,S1,neither,STEP,55.10,237.744375,316.99,50,3,600.068,,collatz_k11_c7_b3
collatz_k11_c7_b4,S1,neither,NESTED_LOOP,83.73,300.000000,400.00,50,4,600.056,,collatz_k11_c7_b4
A033819_a2,S1,neither,NESTED_LOOP,80.56,27.000000,47.00,20,2,600.056,2,A033819
A033819_a3,S1,neither,FUNC_L,57.73,42.793988,74.49,20,3,600.056,3,A033819
A056033_a2,S1,neither,FUNC_L,53.98,33.000000,53.00,20,2,600.059,2,A056033
A056033_a3,S1,neither,ITER,52.78,52.303763,84.00,20,3,600.063,3,A056033
A056036_a2,S1,neither,NESTED_LOOP,86.90,27.000000,47.00,20,2,169.238,2,A056036
A056036_a3,S1,neither,ITER,50.78,42.793988,74.49,20,3,600.064,3,A056036
A068407_a2,S1,neither,NESTED_LOOP,86.90,37.000000,57.00,20,2,600.058,2,A068407
A068407_a3,S1,neither,ITER,48.53,58.643613,90.34,20,3,600.038,3,A068407
A068408_a2,S1,neither,NESTED_LOOP,82.15,27.000000,47.00,20,2,600.055,2,A068408
A068408_a3,S1,neither,FUNC_L,56.73,42.793988,74.49,20,3,600.053,3,A068408
A072495_a2,S1,neither,NESTED_LOOP,85.32,50.000000,70.00,20,2,600.211,2,A072495
A072495_a3,S1,neither,STEP,55.82,79.248125,110.95,20,3,600.288,3,A072495
A072496_a2,S1,neither,NESTED_LOOP,85.32,40.000000,60.00,20,2,600.056,2,A072496
A072496_a3,S1,neither,FUNC,43.53,63.398500,95.10,20,3,600.051,3,A072496
A076650_a2,S1,neither,ITER,40.09,37.000000,57.00,20,2,56.068,2,A076650
A076650_a3,S1,neither,ITER,51.78,58.643613,90.34,20,3,600.412,3,A076650
A316344_a2,S1,neither,NESTED_LOOP,83.73,66.000000,87.00,21,2,600.088,2,A316344
A316344_a3,S1,neither,STEP,50.59,104.607525,137.89,21,3,600.066,3,A316344
A316345_a2,S1,neither,FUNC_L,56.71,66.000000,87.00,21,2,600.055,2,A316345
A316345_a3,S1,neither,FUNC,38.09,104.607525,137.89,21,3,600.053,3,A316345
A316824_a2,S1,discovered,FUNC_L,54.38,66.000000,87.00,21,2,47.429,2,A316824
A316824_a3,S1,neither,NESTED_LOOP,82.15,104.607525,137.89,21,3,600.061,3,A316824
A316827_a2,S1,neither,ITER,48.53,69.000000,91.00,22,2,600.047,2,A316827
A316827_a3,S1,neither,FUNC,44.53,109.362413,144.23,22,3,600.054,3,A316827
A317189_a2,S1,neither,FUNC_L,59.75,80.000000,106.00,26,2,600.056,2,A317189
A317189_a3,S1,neither,STEP,52.41,126.797000,168.01,26,3,600.059,3,A317189
A317948_a2,S1,neither,NESTED_LOOP,88.49,66.000000,87.00,21,2,600.056,2,A317948
A317948_a3,S1,neither,STEP,53.34,104.607525,137.89,21,3,600.038,3,A317948
A006447_a2,S1,neither,FUNC_L,54.73,32.000000,52.00,20,2,600.053,2,A006447
A006447_a3,S1,neither,FUNC_L,53.73,50.718800,82.42,20,3,600.045,3,A006447
A051023_a2,S1,discovered,WIDE_BIT,71.17,77.000000,102.00,25,2,107.161,2,A051023
A051023_a3,S1,neither,STEP,54.07,122.042113,161.67,25,3,600.041,3,A051023
A070886_a2,S1,neither,WIDE_BIT,71.08,75.000000,99.00,24,2,600.062,2,A070886
A070886_a3,S1,neither,ITER,42.09,118.872188,156.91,24,3,600.035,3,A070886
A070887_a2,S1,neither,FUNC_L,52.98,75.000000,99.00,24,2,600.013,2,A070887
A070887_a3,S1,neither,NESTED_LOOP,80.56,118.872188,156.91,24,3,600.063,3,A070887
A070909_a2,S1,neither,WIDE_BIT,73.55,75.000000,99.00,24,2,600.037,2,A070909
A070909_a3,S1,neither,FUNC,45.53,118.872188,156.91,24,3,600.034,3,A070909
A070950_a2,S1,neither,WIDE_BIT,73.55,75.000000,100.00,25,2,600.052,2,A070950
A070950_a3,S1,neither,NESTED_LOOP,80.56,118.872188,158.50,25,3,600.048,3,A070950
A071028_a2,S1,neither,WIDE_BIT,64.77,75.000000,99.00,24,2,600.070,2,A071028
A071028_a3,S1,neither,ITER_F,75.30,118.872188,156.91,24,3,600.048,3,A071028
A071029_a2,S1,neither,FUNC_L,54.73,75.000000,99.00,24,2,600.048,2,A071029
A071029_a3,S1,neither,FUNC_F,51.13,118.872188,156.91,24,3,600.040,3,A071029
A071030_a2,S1,neither,FUNC_L,54.73,75.000000,99.00,24,2,600.046,2,A071030
A071030_a3,S1,neither,FUNC_F,51.13,118.872188,156.91,24,3,600.067,3,A071030
A071031_a2,S1,neither,WIDE_BIT,73.55,75.000000,99.00,24,2,600.045,2,A071031
A071031_a3,S1,neither,NESTED_LOOP,82.15,118.872188,156.91,24,3,600.032,3,A071031
A071032_a2,S1,neither,WIDE_BIT,72.66,75.000000,99.00,24,2,600.043,2,A071032
A071032_a3,S1,neither,FUNC,44.53,118.872188,156.91,24,3,600.050,3,A071032
A071035_a2,S1,neither,FUNC_L,54.73,75.000000,100.00,25,2,600.042,2,A071035
A071035_a3,S1,neither,NESTED_LOOP,82.15,118.872188,158.50,25,3,600.029,3,A071035
A071036_a2,S1,neither,FUNC_L,53.98,75.000000,99.00,24,2,600.039,2,A071036
A071036_a3,S1,neither,STEP,49.28,118.872188,156.91,24,3,600.039,3,A071036
A071037_a2,S1,neither,FUNC_L,52.79,75.000000,99.00,24,2,600.051,2,A071037
A071037_a3,S1,neither,NESTED_LOOP,82.15,118.872188,156.91,24,3,600.046,3,A071037
A071038_a2,S1,neither,ITER_L,60.73,75.000000,99.00,24,2,600.052,2,A071038
A071038_a3,S1,neither,STEP,60.31,118.872188,156.91,24,3,600.040,3,A071038
A071047_a2,S1,neither,WIDE_BIT,76.72,48.000000,68.00,20,2,608.240,2,A071047
A071047_a3,S1,discovered,FUNC_L,52.98,76.078200,107.78,20,3,50.884,3,A071047
A072272_a2,S1,discovered,DARY,13.45,44.000000,64.00,20,2,10.086,2,A072272
A072272_a3,S1,neither,STEP,47.00,69.738350,101.44,20,3,600.036,3,A072272
A075437_a2,S1,neither,ITER,49.11,77.000000,102.00,25,2,600.069,2,A075437
A075437_a3,S1,neither,STEP,55.50,122.042113,161.67,25,3,600.034,3,A075437
A079314_a2,S1,discovered,DARY,15.03,61.000000,81.00,20,2,10.010,2,A079314
A079314_a3,S1,predicted_only,NESTED_LOOP,99.72,96.682713,128.38,20,3,233.207,3,A079314
A079315_a2,S1,discovered,CTX_X,17.86,41.000000,61.00,20,2,16.221,2,A079315
A079315_a3,S1,neither,ITER,47.53,64.983463,96.68,20,3,600.030,3,A079315
A079316_a2,S1,discovered,DARY,13.45,40.000000,60.00,20,2,10.088,2,A079316
A079316_a3,S1,neither,FUNC,43.53,63.398500,95.10,20,3,600.031,3,A079316
A079317_a2,S1,discovered,DARY,13.45,33.000000,53.00,20,2,10.086,2,A079317
A079317_a3,S1,neither,STEP,55.72,52.303763,84.00,20,3,600.037,3,A079317
A085587_a2,S1,predicted_only,FUNC_L,55.73,40.000000,60.00,20,2,34.733,2,A085587
A085587_a3,S1,neither,FUNC_L,45.53,63.398500,95.10,20,3,600.033,3,A085587
A093510_a2,S1,neither,NESTED_LOOP,83.73,47.000000,67.00,20,2,600.037,2,A093510
A093510_a3,S1,neither,ITER,41.34,74.493238,106.19,20,3,600.043,3,A093510
A093511_a2,S1,neither,WIDE_BIT,73.55,50.000000,70.00,20,2,600.050,2,A093511
A093511_a3,S1,neither,STEP,54.77,79.248125,110.95,20,3,600.036,3,A093511
A093512_a2,S1,neither,WIDE_BIT,68.05,41.000000,61.00,20,2,600.053,2,A093512
A093512_a3,S1,neither,FUNC_L,64.09,64.983463,96.68,20,3,600.043,3,A093512
A093513_a2,S1,discovered,CTX_X,17.86,46.000000,66.00,20,2,15.075,2,A093513
A093513_a3,S1,neither,STEP,54.82,72.908275,104.61,20,3,600.042,3,A093513
A093514_a2,S1,discovered,CTX_X,19.20,42.000000,62.00,20,2,41.254,2,A093514
A093514_a3,S1,neither,ITER_L,71.75,66.568425,98.27,20,3,600.050,3,A093514
A093516_a2,S1,neither,WIDE_BIT,71.96,41.000000,61.00,20,2,600.051,2,A093516
A093516_a3,S1,neither,FUNC_L,54.73,64.983463,96.68,20,3,600.039,3,A093516
A093517_a2,S1,neither,WIDE_BIT,71.96,44.000000,64.00,20,2,600.027,2,A093517
A093517_a3,S1,neither,FUNC_L,54.73,69.738350,101.44,20,3,600.042,3,A093517
A100053_a2,S1,neither,FUNC,45.53,75.000000,99.00,24,2,600.030,2,A100053
A100053_a3,S1,neither,FUNC,44.53,118.872188,156.91,24,3,600.023,3,A100053
A110267_a2,S1,neither,WIDE_BIT,73.55,33.000000,53.00,20,2,600.058,2,A110267
A110267_a3,S1,neither,STEP,50.56,52.303763,84.00,20,3,600.034,3,A110267
A118102_a2,S1,neither,FUNC_L,51.98,79.000000,105.00,26,2,600.019,2,A118102
A118102_a3,S1,neither,STEP,54.31,125.212038,166.42,26,3,600.040,3,A118102
A118111_a2,S1,neither,WIDE_BIT,68.06,79.000000,105.00,26,2,600.029,2,A118111
A118111_a3,S1,neither,NESTED_LOOP,80.56,125.212038,166.42,26,3,600.043,3,A118111
A118174_a2,S1,neither,WIDE_BIT,66.48,79.000000,105.00,26,2,600.019,2,A118174
A118174_a3,S1,neither,STEP,50.76,125.212038,166.42,26,3,600.034,3,A118174
A122108_a2,S1,discovered,DARY,15.03,35.000000,55.00,20,2,10.015,2,A122108
A122108_a3,S1,neither,ITER,46.53,55.473688,87.17,20,3,600.034,3,A122108
A147562_a2,S1,discovered,DARY,15.03,32.000000,52.00,20,2,10.016,2,A147562
A147562_a3,S1,predicted_only,FUNC_L,62.15,50.718800,82.42,20,3,111.728,3,A147562
A151723_a2,S1,discovered,DARY,15.03,27.000000,47.00,20,2,10.015,2,A151723
A151723_a3,S1,discovered,DARY,15.03,42.793988,74.49,20,3,10.084,3,A151723
A151725_a2,S1,discovered,DARY,15.03,28.000000,48.00,20,2,10.017,2,A151725
A151725_a3,S1,neither,FUNC,44.53,44.378950,76.08,20,3,600.034,3,A151725
A151731_a2,S1,discovered,DARY,13.45,28.000000,48.00,20,2,10.169,2,A151731
A151731_a3,S1,neither,FUNC_L,56.73,44.378950,76.08,20,3,600.028,3,A151731
A151895_a2,S1,discovered,DARY,15.03,29.000000,49.00,20,2,10.015,2,A151895
A151895_a3,S1,neither,FUNC,44.53,45.963913,77.66,20,3,600.033,3,A151895
A151896_a2,S1,discovered,CTX_X,17.86,46.000000,66.00,20,2,16.050,2,A151896
A151896_a3,S1,neither,FUNC_L,55.96,72.908275,104.61,20,3,600.042,3,A151896
A151922_a2,S1,discovered,DARY,13.45,28.000000,48.00,20,2,10.707,2,A151922
A151922_a3,S1,predicted_only,FUNC_L,60.58,44.378950,76.08,20,3,100.979,3,A151922
A160117_a2,S1,discovered,DARY,15.03,28.000000,48.00,20,2,10.017,2,A160117
A160117_a3,S1,discovered,CTX_X,44.26,44.378950,76.08,20,3,47.687,3,A160117
A160118_a2,S1,discovered,DARY,15.03,30.000000,50.00,20,2,10.017,2,A160118
A160118_a3,S1,neither,STEP,53.80,47.548875,79.25,20,3,600.033,3,A160118
A160119_a2,S1,discovered,DARY,15.03,21.000000,41.00,20,2,10.017,2,A160119
A160119_a3,S1,discovered,CTX_X,24.73,33.284213,64.98,20,3,15.372,3,A160119
A160239_a2,S1,discovered,DARY,15.03,44.000000,64.00,20,2,10.009,2,A160239
A160239_a3,S1,neither,STEP,47.41,69.738350,101.44,20,3,600.072,3,A160239
A160410_a2,S1,discovered,DARY,13.45,28.000000,48.00,20,2,10.260,2,A160410
A160410_a3,S1,discovered,DARY,15.03,44.378950,76.08,20,3,10.131,3,A160410
A160412_a2,S1,discovered,CTX_X,15.61,28.000000,48.00,20,2,10.013,2,A160412
A160412_a3,S1,discovered,DARY,13.45,44.378950,76.08,20,3,10.354,3,A160412
A160414_a2,S1,discovered,DARY,15.03,27.000000,47.00,20,2,10.014,2,A160414
A160414_a3,S1,discovered,ITER,30.73,42.793988,74.49,20,3,23.362,3,A160414
A160420_a2,S1,discovered,DARY,15.03,29.000000,49.00,20,2,10.018,2,A160420
A160420_a3,S1,neither,FUNC_L,54.38,45.963913,77.66,20,3,600.052,3,A160420
A160422_a2,S1,discovered,DARY,15.03,29.000000,49.00,20,2,10.016,2,A160422
A160422_a3,S1,neither,FUNC_L,65.34,45.963913,77.66,20,3,600.030,3,A160422
A160428_a2,S1,discovered,DARY,13.45,20.000000,40.00,20,2,13.186,2,A160428
A160428_a3,S1,discovered,DARY,18.19,31.699250,63.40,20,3,12.869,3,A160428
A160720_a2,S1,discovered,DARY,15.03,32.000000,52.00,20,2,10.016,2,A160720
A160720_a3,S1,neither,NESTED_LOOP,88.49,50.718800,82.42,20,3,600.122,3,A160720
A160722_a2,S1,discovered,DARY,15.03,34.000000,54.00,20,2,10.016,2,A160722
A160722_a3,S1,discovered,CTX_X,15.61,53.888725,85.59,20,3,11.661,3,A160722
A160796_a2,S1,discovered,CTX_X,15.61,31.000000,51.00,20,2,10.018,2,A160796
A160796_a3,S1,discovered,CTX_X,22.48,49.133838,80.83,20,3,11.844,3,A160796
A161340_a2,S1,discovered,DARY,15.03,20.000000,40.00,20,2,13.283,2,A161340
A161340_a3,S1,discovered,CTX_X,24.73,31.699250,63.40,20,3,20.746,3,A161340
A161342_a2,S1,discovered,CTX_X,15.61,25.000000,45.00,20,2,10.019,2,A161342
A161342_a3,S1,discovered,CTX_X,15.61,39.624063,71.32,20,3,10.151,3,A161342
A161644_a2,S1,discovered,CTX_X,17.86,31.000000,51.00,20,2,16.209,2,A161644
A161644_a3,S1,discovered,DARY,15.03,49.133838,80.83,20,3,10.110,3,A161644
A161645_a2,S1,discovered,FUNC,28.73,48.000000,68.00,20,2,16.042,2,A161645
A161645_a3,S1,discovered,CTX_X,17.86,76.078200,107.78,20,3,16.257,3,A161645
A161903_a2,S1,discovered,CTX_X,15.61,76.000000,101.00,25,2,10.013,2,A161903
A161903_a3,S1,discovered,NESTED_LOOP,85.32,120.457150,160.08,25,3,105.962,3,A161903
A162340_a2,S1,neither,WIDE_BIT,66.46,40.000000,60.00,20,2,600.058,2,A162340
A162340_a3,S1,neither,STEP,52.47,63.398500,95.10,20,3,600.035,3,A162340
A169648_a2,S1,discovered,CTX_X,17.86,41.000000,61.00,20,2,17.648,2,A169648
A169648_a3,S1,neither,FUNC_L,55.96,64.983463,96.68,20,3,600.040,3,A169648
A169699_a2,S1,predicted_only,FUNC_L,46.78,32.000000,52.00,20,2,19.568,2,A169699
A169699_a3,S1,neither,ITER_L,69.75,50.718800,82.42,20,3,600.040,3,A169699
A169707_a2,S1,discovered,DARY,13.45,31.000000,51.00,20,2,10.106,2,A169707
A169707_a3,S1,neither,STEP,43.59,49.133838,80.83,20,3,601.966,3,A169707
A169709_a2,S1,discovered,DARY,13.45,31.000000,51.00,20,2,10.136,2,A169709
A169709_a3,S1,neither,ITER,50.53,49.133838,80.83,20,3,611.447,3,A169709
A170896_a2,S1,discovered,DARY,15.03,49.000000,69.00,20,2,10.019,2,A170896
A170896_a3,S1,neither,FUNC,44.53,77.663163,109.36,20,3,600.067,3,A170896
A170905_a2,S1,discovered,CTX_X,17.86,60.000000,80.00,20,2,21.902,2,A170905
A170905_a3,S1,neither,FUNC,36.09,95.097750,126.80,20,3,600.061,3,A170905
A173456_a2,S1,discovered,DARY,15.03,29.000000,49.00,20,2,10.270,2,A173456
A173456_a3,S1,neither,FUNC_L,54.73,45.963913,77.66,20,3,600.105,3,A173456
A173457_a2,S1,discovered,CTX_X,17.86,41.000000,61.00,20,2,46.403,2,A173457
A173457_a3,S1,neither,NESTED_LOOP,85.32,64.983463,96.68,20,3,600.055,3,A173457
A173460_a2,S1,discovered,DARY,15.03,28.000000,48.00,20,2,10.014,2,A173460
A173460_a3,S1,neither,NESTED_LOOP,82.15,44.378950,76.08,20,3,600.055,3,A173460
A177990_a2,S1,neither,WIDE_BIT,64.46,35.000000,55.00,20,2,600.023,2,A177990
A177990_a3,S1,neither,FUNC_L,59.75,55.473688,87.17,20,3,600.070,3,A177990
A180001_a2,S1,neither,WIDE_BIT,73.55,41.000000,61.00,20,2,622.964,2,A180001
A180001_a3,S1,neither,FUNC_L,53.73,64.983463,96.68,20,3,600.100,3,A180001
A226463_a2,S1,neither,FUNC_L,48.53,65.000000,86.00,21,2,601.004,2,A226463
A226463_a3,S1,neither,NESTED_LOOP,83.73,103.022563,136.31,21,3,600.052,3,A226463
A226464_a2,S1,neither,NESTED_LOOP,82.15,65.000000,86.00,21,2,600.109,2,A226464
A226464_a3,S1,neither,FUNC,38.09,103.022563,136.31,21,3,600.066,3,A226464
A231348_a2,S1,discovered,DARY,15.03,45.000000,65.00,20,2,18.084,2,A231348
A231348_a3,S1,neither,STEP,46.41,71.323313,103.02,20,3,600.066,3,A231348
A243566_a2,S1,neither,WIDE_BIT,71.96,65.000000,86.00,21,2,600.020,2,A243566
A243566_a3,S1,neither,STEP,56.25,103.022563,136.31,21,3,602.002,3,A243566
A246316_a2,S1,neither,FUNC_L,54.73,42.000000,62.00,20,2,605.949,2,A246316
A246316_a3,S1,neither,STEP,55.70,66.568425,98.27,20,3,600.064,3,A246316
A246318_a2,S1,compressed_only,DARY,13.45,34.000000,54.00,20,2,10.150,2,A246318
A246318_a3,S1,neither,STEP,51.58,53.888725,85.59,20,3,600.078,3,A246318
A246325_a2,S1,discovered,DARY,13.45,45.000000,65.00,20,2,10.144,2,A246325
A246325_a3,S1,neither,STEP,52.15,71.323313,103.02,20,3,600.072,3,A246325
A246326_a2,S1,neither,WIDE_BIT,68.17,43.000000,63.00,20,2,600.008,2,A246326
A246326_a3,S1,neither,ITER_L,61.98,68.153388,99.85,20,3,600.061,3,A246326
A246333_a2,S1,discovered,DARY,13.45,53.000000,73.00,20,2,10.089,2,A246333
A246333_a3,S1,neither,ITER_F,75.30,84.003013,115.70,20,3,600.079,3,A246333
A247640_a2,S1,discovered,DARY,15.03,34.000000,54.00,20,2,10.013,2,A247640
A247640_a3,S1,discovered,DARY,15.03,53.888725,85.59,20,3,10.094,3,A247640
A247666_a2,S1,discovered,DARY,13.45,32.000000,52.00,20,2,10.092,2,A247666
A247666_a3,S1,discovered,DARY,13.45,50.718800,82.42,20,3,10.109,3,A247666
A255366_a2,S1,discovered,DARY,13.45,31.000000,51.00,20,2,10.092,2,A255366
A255366_a3,S1,neither,STEP,41.59,49.133838,80.83,20,3,600.058,3,A255366
A256250_a2,S1,discovered,DARY,13.45,44.000000,64.00,20,2,10.084,2,A256250
A256250_a3,S1,neither,STEP,54.05,69.738350,101.44,20,3,600.070,3,A256250
A256260_a2,S1,discovered,DARY,13.45,44.000000,64.00,20,2,10.087,2,A256260
A256260_a3,S1,neither,STEP,54.05,69.738350,101.44,20,3,600.075,3,A256260
A256530_a2,S1,discovered,DARY,15.03,38.000000,58.00,20,2,10.011,2,A256530
A256530_a3,S1,discovered,ITER,30.73,60.228575,91.93,20,3,28.671,3,A256530
A256534_a2,S1,discovered,DARY,13.45,37.000000,57.00,20,2,10.178,2,A256534
A256534_a3,S1,discovered,DARY,15.03,58.643613,90.34,20,3,10.081,3,A256534
A262448_a2,S1,neither,WIDE_BIT,71.96,65.000000,86.00,21,2,600.041,2,A262448
A262448_a3,S1,neither,STEP,49.34,103.022563,136.31,21,3,600.073,3,A262448
A262808_a2,S1,neither,WIDE_BIT,73.55,65.000000,86.00,21,2,600.040,2,A262808
A262808_a3,S1,neither,NESTED_LOOP,80.56,103.022563,136.31,21,3,600.085,3,A262808
A263428_a2,S1,neither,WIDE_BIT,73.55,65.000000,86.00,21,2,600.031,2,A263428
A263428_a3,S1,neither,STEP,55.00,103.022563,136.31,21,3,600.067,3,A263428
A264442_a2,S1,neither,FUNC_L,55.73,65.000000,86.00,21,2,600.030,2,A264442
A264442_a3,S1,neither,FUNC,35.09,103.022563,136.31,21,3,600.068,3,A264442
A265186_a2,S1,neither,WIDE_BIT,72.36,65.000000,86.00,21,2,600.034,2,A265186
A265186_a3,S1,neither,FUNC,42.53,103.022563,136.31,21,3,600.072,3,A265186
A265225_a2,S1,discovered,FUNC,26.73,33.000000,53.00,20,2,55.405,2,A265225
A265225_a3,S1,discovered,FUNC,34.09,52.303763,84.00,20,3,42.194,3,A265225
