id,category,oeis_xref,A,total_n,train_n,k,sc,pred_sc,solomonoff_class,mdl,raw_bits,ratio,time_s,solver_desc
tot3_0680,totalistic_3state,,3,500,375,125,375,125,discovered,32.43,792.48,0.0409,45.974,CTX_X nr=1 d=3 perm=(2) out=R0 L=3
tot3_0681,totalistic_3state,,3,500,375,125,375,125,discovered,26.03,792.48,0.0329,52.765,"CTX_X nr=2 d=3 perm=(0,1) out=R0 L=1"
tot3_0682,totalistic_3state,,3,500,375,125,10,0,neither,50.77,792.48,0.0641,600.029,STEP off=16 halt=0
tot3_0683,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,17.010,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0684,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.134,"DARY d=2 ISZERO(R1,R0) init=0"
tot3_0685,totalistic_3state,,3,500,375,125,375,125,discovered,20.43,792.48,0.0258,44.421,CTX_X nr=1 d=4 perm=(0) out=R0 L=1
tot3_0686,totalistic_3state,,3,500,375,125,14,0,neither,66.43,792.48,0.0838,600.044,STEP off=307 halt=37
tot3_0687,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.450,"DARY d=2 LOAD(R0,1) init=0"
tot3_0688,totalistic_3state,,3,500,375,125,375,125,discovered,13.45,792.48,0.0170,10.227,"DARY d=2 LOAD(R0,1) init=0"
tot3_0689,totalistic_3state,,3,500,375,125,11,0,neither,41.59,792.48,0.0525,600.056,STEP off=0 halt=0
tot3_0690,totalistic_3state,,3,500,375,125,11,0,neither,55.02,792.48,0.0694,600.053,STEP off=102 halt=0
tot3_0691,totalistic_3state,,3,500,375,125,11,0,neither,56.45,792.48,0.0712,600.041,STEP off=208 halt=0
tot3_0692,totalistic_3state,,3,500,375,125,375,125,discovered,28.84,792.48,0.0364,11.944,CTX_X nr=1 d=1 perm=(0) out=R0 L=3
tot3_0693,totalistic_3state,,3,500,375,125,375,125,discovered,15.03,792.48,0.0190,10.087,"DARY d=2 ISZERO(R1,R0) init=0"
