"id","population","solver_family","program_bits","time_s","log2t"
"tot3_1063","S4","CTX_X",15.61,13.568,3.76213616990111
"tot3_1064","S4","CTX_X",28.93,44.291,5.46894166557535
"tot3_1065","S4","FUNC_L",46.78,13.239,3.72672224803506
"tot3_1066","S4","CTX_X",17.86,17.194,4.10383330630347
"tot3_1067","S4","NESTED_LOOP",116.78,480.802,8.90929908703863
"tot3_1068","S4","NESTED_LOOP",114.45,496.741,8.95635001860248
"tot3_1070","S4","CTX_X",24.73,20.444,4.35360559133812
"tot3_1071","S4","DARY",15.03,10.132,3.34084707705041
"tot3_1073","S4","DARY",19.19,13.48,3.75274859140713
"tot3_1075","S4","CTX_X",17.86,15.904,3.9913177569002
"tot3_1076","S4","CTX_X",24.73,16.116,4.01042180548651
"tot3_1079","S4","CTX_X",24.73,16.206,4.01845614056804
"tot3_1080","S4","DARY",15.03,10.088,3.33456827566613
"tot3_1081","S4","NESTED_LOOP",64.81,208.175,7.70165301373567
"tot3_1082","S4","NESTED_LOOP",63.81,421.789,8.72037766078973
"tot3_1083","S4","DARY",13.45,10.208,3.35162832910278
"tot3_1084","S4","DARY",13.45,10.212,3.35219353774503
"tot3_1085","S4","DARY",13.45,10.204,3.35106289894039
"tot3_1087","S4","CTX_X",17.86,17.554,4.13372790733314
"tot3_1088","S4","CTX_X",17.86,17.287,4.111615619122
"tot3_1089","S4","DARY",15.03,10.085,3.33413917883824
"tot3_1090","S4","CTX_X",20.43,42.186,5.39869239520257
"tot3_1091","S4","CTX_X",24.73,16.091,4.00818208224212
"tot3_1092","S4","DARY",13.45,10.208,3.35162832910278
"tot3_1093","S4","DARY",13.45,10.196,3.34993137336011
"tot3_1094","S4","DARY",13.45,10.212,3.35219353774503
"tot3_1095","S4","CTX_X",17.86,17.407,4.12159567880332
"tot3_1096","S4","CTX_X",17.86,17.183,4.10291003516339
"tot3_1097","S4","CTX_X",17.86,17.438,4.12416267883585
"tot3_1098","S4","DARY",15.03,10.086,3.33428222529524
"tot3_1099","S4","CTX_X",44.26,41.36,5.37016428054021
"tot3_1100","S4","CTX_X",24.73,16.333,4.02971790033768
"tot3_1101","S4","DARY",13.45,10.22,3.3533232911629
