"id","population","class","train_bits","mdl","train_ratio","total_ratio"
"eca_076","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_077","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_078","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_079","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_080","S2","discovered",375,15.03,0.04008,0.0301
"eca_081","S2","discovered",375,19.2,0.0512,0.0384
"eca_082","S2","discovered",375,15.03,0.04008,0.0301
"eca_083","S2","discovered",375,19.2,0.0512,0.0384
"eca_084","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_085","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_086","S2","discovered",375,74.53,0.198746666666667,0.1491
"eca_087","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_088","S2","discovered",375,15.03,0.04008,0.0301
"eca_089","S2","neither",375,75.13,0.200346666666667,0.1503
"eca_090","S2","discovered",375,15.03,0.04008,0.0301
"eca_091","S2","discovered",375,33.9,0.0904,0.0678
"eca_092","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_093","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_094","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_095","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_096","S2","discovered",375,15.03,0.04008,0.0301
"eca_097","S2","discovered",375,21.35,0.0569333333333333,0.0427
"eca_098","S2","discovered",375,15.03,0.04008,0.0301
"eca_099","S2","discovered",375,25.73,0.0686133333333333,0.0515
"eca_100","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_101","S2","neither",375,75.13,0.200346666666667,0.1503
"eca_102","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_103","S2","discovered",375,39.91,0.106426666666667,0.0798
"eca_104","S2","discovered",375,15.03,0.04008,0.0301
"eca_105","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_106","S2","discovered",375,15.03,0.04008,0.0301
"eca_107","S2","discovered",375,75.13,0.200346666666667,0.1503
"eca_108","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_109","S2","discovered",375,26.03,0.0694133333333333,0.0521
"eca_110","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_111","S2","discovered",375,23.18,0.0618133333333333,0.0464
"eca_112","S2","discovered",375,15.03,0.04008,0.0301
"eca_113","S2","discovered",375,19.2,0.0512,0.0384
"eca_114","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_115","S2","discovered",375,20.43,0.05448,0.0409
"eca_116","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_117","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_118","S2","discovered",375,24.11,0.0642933333333333,0.0482
"eca_119","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_120","S2","discovered",375,15.03,0.04008,0.0301
"eca_121","S2","discovered",375,75.13,0.200346666666667,0.1503
"eca_122","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_123","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_124","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_125","S2","discovered",375,23.18,0.0618133333333333,0.0464
"eca_126","S2","discovered",375,46.78,0.124746666666667,0.0936
"eca_127","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_128","S2","discovered",375,15.03,0.04008,0.0301
"eca_129","S2","discovered",375,54.73,0.145946666666667,0.1095
"eca_130","S2","discovered",375,15.03,0.04008,0.0301
"eca_131","S2","discovered",375,25.73,0.0686133333333333,0.0515
"eca_132","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_133","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_134","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_135","S2","neither",375,73.55,0.196133333333333,0.1471
"eca_136","S2","discovered",375,15.03,0.04008,0.0301
"eca_137","S2","neither",375,25.73,0.0686133333333333,0.0515
"eca_138","S2","discovered",375,15.03,0.04008,0.0301
"eca_139","S2","discovered",375,31.98,0.08528,0.064
"eca_140","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_141","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_142","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_143","S2","discovered",375,33.9,0.0904,0.0678
"eca_144","S2","discovered",375,15.03,0.04008,0.0301
"eca_145","S2","discovered",375,25.73,0.0686133333333333,0.0515
"eca_146","S2","discovered",375,15.03,0.04008,0.0301
"eca_147","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_148","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_149","S2","neither",375,73.55,0.196133333333333,0.1471
"eca_150","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_151","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_152","S2","discovered",375,15.03,0.04008,0.0301
"eca_153","S2","discovered",375,15.03,0.04008,0.0301
"eca_154","S2","discovered",375,15.03,0.04008,0.0301
"eca_155","S2","discovered",375,31.98,0.08528,0.064
"eca_156","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_157","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_158","S2","discovered",375,35.09,0.0935733333333333,0.0702
"eca_159","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_160","S2","discovered",375,15.03,0.04008,0.0301
"eca_161","S2","discovered",375,54.73,0.145946666666667,0.1095
"eca_162","S2","discovered",375,15.03,0.04008,0.0301
"eca_163","S2","discovered",375,19.2,0.0512,0.0384
"eca_164","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_165","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_166","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_167","S2","compressed_only",375,74.53,0.198746666666667,0.1491
"eca_168","S2","discovered",375,15.03,0.04008,0.0301
"eca_169","S2","discovered",375,41.09,0.109573333333333,0.0822
"eca_170","S2","discovered",375,15.03,0.04008,0.0301
"eca_171","S2","discovered",375,31.98,0.08528,0.064
"eca_172","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_173","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_174","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_175","S2","discovered",375,19.2,0.0512,0.0384
"eca_176","S2","discovered",375,15.03,0.04008,0.0301
"eca_177","S2","discovered",375,19.2,0.0512,0.0384
"eca_178","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_179","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_180","S2","discovered",375,15.7,0.0418666666666667,0.0314
"eca_181","S2","compressed_only",375,74.53,0.198746666666667,0.1491
"eca_182","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_183","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_184","S2","discovered",375,15.03,0.04008,0.0301
"eca_185","S2","discovered",375,31.98,0.08528,0.064
"eca_186","S2","discovered",375,15.61,0.0416266666666667,0.0312
"eca_187","S2","discovered",375,17.86,0.0476266666666667,0.0357
"eca_188","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_189","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_190","S2","discovered",375,35.09,0.0935733333333333,0.0702
"eca_191","S2","discovered",375,13.45,0.0358666666666667,0.0269
"eca_192","S2","discovered",375,15.03,0.04008,0.0301
