"id","stage","class","class_simple","time_s"
"A000007_a2","S3","discovered","discovered",10.01
"A000007_a3","S3","discovered","discovered",10.079
"A000007_a4","S3","discovered","discovered",10.147
"A000007_a5","S3","discovered","discovered",10.079
"A000007_a7","S3","discovered","discovered",10.081
"A000009_a2","S3","neither","other",600.054
"A000009_a3","S3","neither","other",600.035
"A000009_a4","S3","neither","other",600.04
"A000009_a5","S3","neither","other",600.033
"A000009_a7","S3","neither","other",600.037
"A000010_a2","S3","discovered","discovered",27.319
"A000010_a3","S3","neither","other",600.039
"A000010_a4","S3","neither","other",600.041
"A000010_a5","S3","neither","other",600.038
"A000010_a7","S3","neither","other",600.045
"A000012_a2","S3","discovered","discovered",10.099
"A000012_a3","S3","discovered","discovered",10.108
"A000012_a4","S3","discovered","discovered",10.115
"A000012_a5","S3","discovered","discovered",10.11
"A000012_a7","S3","discovered","discovered",10.111
"A000014_a2","S3","neither","other",221.352
"A000014_a3","S3","neither","other",600.036
"A000014_a4","S3","neither","other",600.034
"A000014_a5","S3","neither","other",600.042
"A000014_a7","S3","neither","other",600.043
"A000019_a2","S3","neither","other",600.046
"A000019_a3","S3","neither","other",600.072
"A000019_a4","S3","neither","other",600.053
"A000019_a5","S3","neither","other",600.055
"A000019_a7","S3","neither","other",600.065
"A000027_a2","S3","discovered","discovered",10.009
"A000027_a3","S3","discovered","discovered",10.188
"A000027_a4","S3","discovered","discovered",10.086
"A000027_a5","S3","discovered","discovered",10.104
"A000027_a7","S3","discovered","discovered",10.088
"A000035_a2","S3","discovered","discovered",10.009
"A000035_a3","S3","discovered","discovered",19.325
"A000035_a4","S3","discovered","discovered",23.516
"A000035_a5","S3","discovered","discovered",18.866
"A000035_a7","S3","discovered","discovered",18.66
"A000040_a2","S3","discovered","discovered",10.014
"A000040_a3","S3","neither","other",600.059
"A000040_a4","S3","neither","other",600.062
"A000040_a5","S3","neither","other",600.066
"A000040_a7","S3","neither","other",600.063
"A000041_a2","S3","neither","other",600.037
"A000041_a3","S3","neither","other",600.054
"A000041_a4","S3","neither","other",600.047
"A000041_a5","S3","neither","other",600.058
"A000041_a7","S3","neither","other",600.073
"A000043_a2","S3","discovered","discovered",10.016
"A000043_a3","S3","neither","other",600.063
"A000043_a4","S3","neither","other",600.063
"A000043_a5","S3","neither","other",600.071
"A000043_a7","S3","neither","other",600.076
"A000045_a2","S3","not_compressed_predicted","other",14.787
"A000045_a3","S3","discovered","discovered",27.691
"A000045_a4","S3","discovered","discovered",15.588
"A000045_a5","S3","discovered","discovered",16.917
"A000045_a7","S3","discovered","discovered",15.387
"A000069_a2","S3","discovered","discovered",13.915
"A000069_a3","S3","not_compressed_predicted","other",302.643
"A000069_a4","S3","neither","other",600.067
"A000069_a5","S3","neither","other",600.058
"A000069_a7","S3","neither","other",600.078
"A000120_a2","S3","discovered","discovered",13.489
"A000120_a3","S3","discovered","discovered",21.11
"A000120_a4","S3","discovered","discovered",24.67
"A000120_a5","S3","discovered","discovered",21.393
"A000120_a7","S3","discovered","discovered",21.164
"A000123_a2","S3","discovered","discovered",10.015
"A000123_a3","S3","neither","other",600.044
"A000123_a4","S3","neither","other",600.058
"A000123_a5","S3","neither","other",600.072
"A000123_a7","S3","neither","other",600.1
"A000124_a2","S3","discovered","discovered",15.928
"A000124_a3","S3","discovered","discovered",15.785
"A000124_a4","S3","discovered","discovered",18.123
"A000124_a5","S3","discovered","discovered",22.477
"A000124_a7","S3","discovered","discovered",16.827
"A000161_a2","S3","neither","other",600.084
"A000161_a3","S3","neither","other",600.063
"A000161_a4","S3","neither","other",600.065
"A000161_a5","S3","neither","other",600.057
"A000161_a7","S3","neither","other",600.108
"A000203_a2","S3","neither","other",600.314
"A000203_a3","S3","not_compressed_predicted","other",298.824
"A000203_a4","S3","not_compressed_predicted","other",324.186
"A000203_a5","S3","not_compressed_predicted","other",328.379
"A000203_a7","S3","discovered","discovered",313.298
"A000217_a2","S3","discovered","discovered",15.085
"A000217_a3","S3","discovered","discovered",14.686
"A000217_a4","S3","discovered","discovered",14.998
"A000217_a5","S3","discovered","discovered",15.316
"A000217_a7","S3","discovered","discovered",14.836
"A000219_a2","S3","neither","other",600.038
"A000219_a3","S3","neither","other",600.054
"A000219_a4","S3","neither","other",600.063
"A000219_a5","S3","neither","other",600.066
"A000219_a7","S3","neither","other",600.067
"A000290_a2","S3","discovered","discovered",10.015
"A000290_a3","S3","discovered","discovered",14.997
"A000290_a4","S3","discovered","discovered",10.085
"A000290_a5","S3","discovered","discovered",14.788
"A000290_a7","S3","discovered","discovered",14.985
"A000292_a2","S3","not_compressed_predicted","other",48.551
"A000292_a3","S3","discovered","discovered",40.981
"A000292_a4","S3","discovered","discovered",61.221
"A000292_a5","S3","discovered","discovered",46.049
"A000292_a7","S3","not_compressed_predicted","other",88.649
"A000326_a2","S3","discovered","discovered",14.739
"A000326_a3","S3","discovered","discovered",10.082
"A000326_a4","S3","discovered","discovered",15.022
"A000326_a5","S3","discovered","discovered",15.484
"A000326_a7","S3","discovered","discovered",22.524
"A000330_a2","S3","discovered","discovered",14.937
"A000330_a3","S3","discovered","discovered",41.607
"A000330_a4","S3","discovered","discovered",15.168
"A000330_a5","S3","discovered","discovered",21.01
"A000330_a7","S3","discovered","discovered",75.306
"A000578_a2","S3","discovered","discovered",10.015
"A000578_a3","S3","discovered","discovered",10.082
"A000578_a4","S3","discovered","discovered",14.899
"A000578_a5","S3","discovered","discovered",19.719
"A000578_a7","S3","discovered","discovered",18.441
"A000593_a2","S3","neither","other",600.06
"A000593_a3","S3","neither","other",600.066
"A000593_a4","S3","neither","other",299.829
"A000593_a5","S3","neither","other",600.067
"A000593_a7","S3","neither","other",600.079
"A000688_a2","S3","neither","other",600.07
"A000688_a3","S3","neither","other",600.055
"A000688_a4","S3","neither","other",600.056
"A000688_a5","S3","neither","other",600.07
"A000688_a7","S3","neither","other",600.062
"A000720_a2","S3","neither","other",600.049
"A000720_a3","S3","neither","other",600.071
"A000720_a4","S3","neither","other",600.061
"A000720_a5","S3","neither","other",600.055
"A000720_a7","S3","neither","other",600.049
"A000793_a2","S3","neither","other",78.899
"A000793_a3","S3","neither","other",600.055
